year,Adda
1880,14
1881,20
1882,17
1883,24
1884,18
1885,22
1886,20
1887,22
1888,27
1889,23
1890,20
1891,25
1892,14
1893,12
1894,16
1895,16
1896,12
1897,16
1898,14
1899,15
1900,10
1901,10
1902,13
1903,12
1904,5
1905,7
1906,7
1907,5
1908,11
1909,12
1910,9
1911,10
1912,11
1913,15
1914,16
1915,20
1916,22
1917,22
1918,18
1919,17
1920,23
1921,19
1922,18
1923,13
1924,21
1925,17
1926,14
1927,16
1928,11
1929,15
1930,6
1931,10
1932,5
1933,5
1934,9
1935,6
1936,8
1937,10
1938,0
1939,10
1940,0
1941,6
1942,5
1943,0
1944,0
1945,5
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,5
1964,5
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,7
2004,0
2005,0
2006,0
2007,5
2008,5
2009,0
2010,5
2011,0
2012,5
