year,Alvester
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,5
1918,10
1919,10
1920,0
1921,6
1922,7
1923,5
1924,7
1925,8
1926,11
1927,7
1928,0
1929,11
1930,7
1931,10
1932,0
1933,8
1934,9
1935,7
1936,8
1937,8
1938,10
1939,5
1940,13
1941,11
1942,9
1943,8
1944,11
1945,9
1946,5
1947,15
1948,16
1949,8
1950,7
1951,12
1952,14
1953,11
1954,7
1955,14
1956,12
1957,15
1958,5
1959,11
1960,10
1961,13
1962,5
1963,9
1964,6
1965,7
1966,0
1967,10
1968,0
1969,0
1970,0
1971,14
1972,8
1973,0
1974,0
1975,0
1976,5
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,5
1984,6
1985,0
1986,0
1987,0
1988,5
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
