year,Antonetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,6
1899,0
1900,8
1901,6
1902,9
1903,6
1904,7
1905,8
1906,8
1907,9
1908,11
1909,16
1910,19
1911,10
1912,26
1913,27
1914,35
1915,60
1916,39
1917,41
1918,48
1919,50
1920,50
1921,56
1922,48
1923,45
1924,50
1925,44
1926,44
1927,43
1928,40
1929,38
1930,33
1931,25
1932,27
1933,22
1934,13
1935,17
1936,14
1937,15
1938,10
1939,9
1940,7
1941,8
1942,10
1943,0
1944,9
1945,9
1946,0
1947,8
1948,8
1949,6
1950,5
1951,6
1952,0
1953,8
1954,9
1955,7
1956,10
1957,10
1958,8
1959,10
1960,15
1961,11
1962,13
1963,5
1964,6
1965,5
1966,13
1967,0
1968,6
1969,11
1970,12
1971,5
1972,0
1973,0
1974,0
1975,9
1976,0
1977,8
1978,7
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,6
1987,9
1988,5
1989,0
1990,0
1991,7
1992,5
1993,5
1994,0
1995,0
1996,8
1997,0
1998,0
1999,0
2000,6
2001,5
2002,0
2003,6
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
