year,Augie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,8
1918,0
1919,0
1920,6
1921,5
1922,0
1923,0
1924,9
1925,0
1926,5
1927,0
1928,8
1929,0
1930,0
1931,9
1932,0
1933,10
1934,0
1935,6
1936,5
1937,8
1938,7
1939,7
1940,8
1941,7
1942,12
1943,13
1944,10
1945,11
1946,10
1947,8
1948,10
1949,6
1950,13
1951,10
1952,10
1953,12
1954,10
1955,9
1956,22
1957,17
1958,15
1959,21
1960,13
1961,11
1962,13
1963,20
1964,8
1965,10
1966,11
1967,7
1968,10
1969,7
1970,0
1971,6
1972,6
1973,8
1974,5
1975,10
1976,0
1977,0
1978,6
1979,0
1980,0
1981,6
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,7
2002,0
2003,0
2004,7
2005,0
2006,0
2007,5
2008,6
2009,6
2010,8
2011,6
2012,14
