year,Austin (F),Austin (M)
1880,0.000000,0.000263
1881,0.000000,0.000343
1882,0.000000,0.000293
1883,0.000000,0.000198
1884,0.000000,0.000288
1885,0.000000,0.000224
1886,0.000000,0.000251
1887,0.000000,0.000190
1888,0.000000,0.000264
1889,0.000000,0.000235
1890,0.000000,0.000209
1891,0.000000,0.000227
1892,0.000000,0.000212
1893,0.000000,0.000123
1894,0.000000,0.000162
1895,0.000000,0.000157
1896,0.000000,0.000173
1897,0.000000,0.000156
1898,0.000000,0.000170
1899,0.000000,0.000165
1900,0.000000,0.000147
1901,0.000000,0.000197
1902,0.000000,0.000165
1903,0.000000,0.000131
1904,0.000000,0.000164
1905,0.000000,0.000179
1906,0.000000,0.000194
1907,0.000000,0.000120
1908,0.000000,0.000172
1909,0.000000,0.000200
1910,0.000000,0.000171
1911,0.000000,0.000157
1912,0.000000,0.000226
1913,0.000000,0.000227
1914,0.000000,0.000226
1915,0.000003,0.000231
1916,0.000000,0.000228
1917,0.000002,0.000204
1918,0.000005,0.000222
1919,0.000003,0.000204
1920,0.000000,0.000206
1921,0.000002,0.000187
1922,0.000000,0.000199
1923,0.000000,0.000195
1924,0.000000,0.000176
1925,0.000003,0.000186
1926,0.000000,0.000187
1927,0.000000,0.000180
1928,0.000000,0.000171
1929,0.000000,0.000166
1930,0.000000,0.000173
1931,0.000000,0.000166
1932,0.000000,0.000130
1933,0.000000,0.000147
1934,0.000000,0.000121
1935,0.000000,0.000107
1936,0.000000,0.000120
1937,0.000000,0.000112
1938,0.000000,0.000096
1939,0.000000,0.000095
1940,0.000000,0.000106
1941,0.000000,0.000096
1942,0.000000,0.000109
1943,0.000000,0.000102
1944,0.000000,0.000089
1945,0.000000,0.000092
1946,0.000000,0.000082
1947,0.000000,0.000071
1948,0.000000,0.000068
1949,0.000000,0.000054
1950,0.000000,0.000069
1951,0.000000,0.000068
1952,0.000000,0.000056
1953,0.000000,0.000055
1954,0.000000,0.000060
1955,0.000000,0.000051
1956,0.000000,0.000055
1957,0.000000,0.000057
1958,0.000000,0.000048
1959,0.000000,0.000046
1960,0.000000,0.000049
1961,0.000000,0.000050
1962,0.000000,0.000050
1963,0.000000,0.000056
1964,0.000000,0.000055
1965,0.000000,0.000057
1966,0.000000,0.000058
1967,0.000000,0.000060
1968,0.000000,0.000058
1969,0.000000,0.000053
1970,0.000001,0.000069
1971,0.000000,0.000077
1972,0.000000,0.000075
1973,0.000002,0.000091
1974,0.000000,0.000102
1975,0.000002,0.000139
1976,0.000003,0.000171
1977,0.000002,0.000214
1978,0.000005,0.000279
1979,0.000009,0.000299
1980,0.000009,0.000338
1981,0.000012,0.000420
1982,0.000015,0.000513
1983,0.000019,0.000592
1984,0.000021,0.000670
1985,0.000025,0.000764
1986,0.000029,0.000901
1987,0.000031,0.001135
1988,0.000036,0.001512
1989,0.000038,0.001791
1990,0.000039,0.002002
1991,0.000037,0.002325
1992,0.000046,0.002983
1993,0.000050,0.004664
1994,0.000061,0.006239
1995,0.000047,0.007074
1996,0.000043,0.007037
1997,0.000035,0.006928
1998,0.000031,0.006384
1999,0.000020,0.005623
2000,0.000014,0.004219
2001,0.000035,0.003996
2002,0.000054,0.003891
2003,0.000040,0.003075
2004,0.000040,0.002813
2005,0.000024,0.002631
2006,0.000026,0.002602
2007,0.000022,0.002301
2008,0.000023,0.002033
2009,0.000025,0.001908
2010,0.000025,0.001869
2011,0.000023,0.001924
2012,0.000023,0.001917
2013,0.000029,0.001782
2014,0.000033,0.001704
2015,0.000042,0.001572
2016,0.000032,0.001464
2017,0.000038,0.001415
2018,0.000036,0.001333
2019,0.000046,0.001267
2020,0.000047,0.001204
