year,Bernell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,10
1913,6
1914,9
1915,25
1916,26
1917,29
1918,41
1919,39
1920,50
1921,52
1922,44
1923,56
1924,35
1925,42
1926,37
1927,49
1928,46
1929,45
1930,45
1931,42
1932,46
1933,44
1934,48
1935,33
1936,40
1937,37
1938,43
1939,48
1940,30
1941,39
1942,49
1943,24
1944,36
1945,32
1946,34
1947,37
1948,37
1949,49
1950,36
1951,38
1952,46
1953,36
1954,24
1955,40
1956,24
1957,32
1958,29
1959,24
1960,25
1961,30
1962,31
1963,17
1964,27
1965,22
1966,15
1967,15
1968,16
1969,21
1970,21
1971,18
1972,6
1973,10
1974,12
1975,18
1976,7
1977,9
1978,12
1979,14
1980,12
1981,14
1982,11
1983,8
1984,11
1985,11
1986,12
1987,10
1988,13
1989,12
1990,15
1991,6
1992,9
1993,10
1994,8
1995,0
1996,0
1997,0
1998,7
1999,7
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,5
2012,0
