year,Brandy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,6
1943,8
1944,6
1945,6
1946,5
1947,8
1948,8
1949,17
1950,12
1951,15
1952,24
1953,28
1954,24
1955,27
1956,20
1957,26
1958,31
1959,40
1960,45
1961,37
1962,54
1963,83
1964,110
1965,104
1966,121
1967,180
1968,317
1969,360
1970,668
1971,752
1972,2162
1973,3791
1974,3928
1975,5050
1976,5304
1977,5541
1978,6794
1979,6861
1980,6484
1981,6957
1982,6143
1983,5253
1984,4626
1985,3953
1986,3368
1987,3079
1988,2733
1989,2497
1990,2300
1991,2097
1992,1849
1993,1546
1994,1384
1995,1539
1996,1391
1997,1134
1998,1079
1999,876
2000,735
2001,610
2002,585
2003,476
2004,440
2005,411
2006,365
2007,336
2008,277
2009,258
2010,199
2011,168
2012,146
