year,Carly
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,6
1952,7
1953,5
1954,0
1955,0
1956,0
1957,0
1958,6
1959,0
1960,5
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,8
1970,0
1971,6
1972,75
1973,246
1974,371
1975,319
1976,345
1977,401
1978,550
1979,682
1980,753
1981,936
1982,1260
1983,1159
1984,1329
1985,1317
1986,1203
1987,1412
1988,1609
1989,1566
1990,1783
1991,2347
1992,2473
1993,2371
1994,2331
1995,2583
1996,2516
1997,2340
1998,2268
1999,1827
2000,1961
2001,1839
2002,1590
2003,1762
2004,1934
2005,1747
2006,1350
2007,1327
2008,1683
2009,1506
2010,1435
2011,1273
2012,1107
