year,Carolynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,8
1918,5
1919,8
1920,0
1921,6
1922,7
1923,15
1924,13
1925,7
1926,0
1927,9
1928,17
1929,22
1930,23
1931,18
1932,23
1933,35
1934,37
1935,55
1936,38
1937,66
1938,70
1939,70
1940,107
1941,122
1942,170
1943,160
1944,165
1945,143
1946,163
1947,168
1948,140
1949,129
1950,108
1951,104
1952,122
1953,91
1954,109
1955,87
1956,90
1957,101
1958,89
1959,97
1960,71
1961,109
1962,103
1963,82
1964,73
1965,73
1966,55
1967,72
1968,82
1969,71
1970,74
1971,63
1972,52
1973,49
1974,49
1975,45
1976,45
1977,57
1978,49
1979,56
1980,55
1981,64
1982,58
1983,52
1984,60
1985,37
1986,50
1987,45
1988,50
1989,48
1990,51
1991,45
1992,64
1993,51
1994,46
1995,35
1996,50
1997,45
1998,42
1999,25
2000,56
2001,44
2002,43
2003,43
2004,42
2005,37
2006,48
2007,44
2008,39
2009,52
2010,35
2011,32
2012,43
