year,Cecilio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,5
1913,11
1914,9
1915,13
1916,9
1917,16
1918,11
1919,10
1920,24
1921,21
1922,15
1923,16
1924,20
1925,20
1926,16
1927,19
1928,14
1929,15
1930,18
1931,13
1932,6
1933,11
1934,10
1935,13
1936,11
1937,16
1938,11
1939,17
1940,15
1941,17
1942,24
1943,15
1944,21
1945,23
1946,23
1947,24
1948,17
1949,18
1950,22
1951,25
1952,24
1953,19
1954,20
1955,27
1956,20
1957,19
1958,23
1959,22
1960,20
1961,14
1962,25
1963,26
1964,30
1965,18
1966,21
1967,30
1968,26
1969,29
1970,30
1971,15
1972,31
1973,21
1974,24
1975,25
1976,23
1977,36
1978,29
1979,33
1980,34
1981,37
1982,38
1983,35
1984,27
1985,33
1986,25
1987,25
1988,29
1989,28
1990,33
1991,30
1992,28
1993,37
1994,30
1995,33
1996,27
1997,35
1998,39
1999,30
2000,25
2001,35
2002,27
2003,24
2004,14
2005,17
2006,14
2007,28
2008,20
2009,16
2010,17
2011,18
2012,15
