year,Claude
1880,319
1881,311
1882,364
1883,321
1884,353
1885,350
1886,401
1887,383
1888,382
1889,391
1890,359
1891,334
1892,363
1893,403
1894,419
1895,402
1896,407
1897,361
1898,382
1899,300
1900,445
1901,341
1902,342
1903,309
1904,346
1905,399
1906,352
1907,369
1908,433
1909,427
1910,472
1911,472
1912,898
1913,1089
1914,1297
1915,1618
1916,1742
1917,1638
1918,1897
1919,1785
1920,1911
1921,1907
1922,1826
1923,1713
1924,1720
1925,1712
1926,1735
1927,1638
1928,1555
1929,1472
1930,1497
1931,1315
1932,1371
1933,1258
1934,1273
1935,1275
1936,1238
1937,1147
1938,1317
1939,1168
1940,1204
1941,1186
1942,1321
1943,1371
1944,1299
1945,1166
1946,1313
1947,1439
1948,1354
1949,1228
1950,1260
1951,1248
1952,1149
1953,1150
1954,1149
1955,1092
1956,1015
1957,1021
1958,958
1959,867
1960,849
1961,813
1962,709
1963,745
1964,727
1965,607
1966,558
1967,512
1968,535
1969,456
1970,454
1971,431
1972,371
1973,330
1974,325
1975,323
1976,275
1977,254
1978,262
1979,276
1980,271
1981,240
1982,235
1983,183
1984,187
1985,188
1986,178
1987,209
1988,179
1989,170
1990,151
1991,146
1992,142
1993,149
1994,119
1995,113
1996,108
1997,89
1998,93
1999,91
2000,99
2001,69
2002,70
2003,82
2004,65
2005,69
2006,62
2007,58
2008,66
2009,58
2010,55
2011,46
2012,45
