year,Daneil
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,6
1926,0
1927,0
1928,5
1929,0
1930,0
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,8
1944,0
1945,5
1946,5
1947,5
1948,10
1949,7
1950,11
1951,17
1952,18
1953,17
1954,17
1955,32
1956,22
1957,28
1958,18
1959,19
1960,27
1961,19
1962,36
1963,23
1964,18
1965,15
1966,18
1967,26
1968,6
1969,24
1970,19
1971,11
1972,16
1973,10
1974,20
1975,23
1976,27
1977,19
1978,28
1979,32
1980,24
1981,36
1982,42
1983,34
1984,33
1985,29
1986,34
1987,40
1988,30
1989,25
1990,23
1991,17
1992,8
1993,14
1994,14
1995,16
1996,12
1997,8
1998,9
1999,9
2000,11
2001,10
2002,7
2003,7
2004,6
2005,8
2006,9
2007,14
2008,10
2009,5
2010,8
2011,0
2012,0
