year,Darrol
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,6
1919,0
1920,5
1921,5
1922,0
1923,0
1924,7
1925,7
1926,5
1927,8
1928,5
1929,8
1930,14
1931,7
1932,8
1933,11
1934,7
1935,9
1936,9
1937,9
1938,15
1939,7
1940,12
1941,12
1942,19
1943,13
1944,18
1945,7
1946,8
1947,25
1948,10
1949,8
1950,8
1951,12
1952,15
1953,14
1954,22
1955,17
1956,14
1957,25
1958,14
1959,18
1960,15
1961,16
1962,12
1963,13
1964,8
1965,18
1966,17
1967,11
1968,5
1969,6
1970,6
1971,10
1972,8
1973,0
1974,8
1975,5
1976,6
1977,6
1978,0
1979,0
1980,5
1981,0
1982,5
1983,6
1984,0
1985,6
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
