year,Delila
1880,5
1881,7
1882,6
1883,7
1884,0
1885,11
1886,7
1887,13
1888,0
1889,0
1890,17
1891,6
1892,10
1893,7
1894,0
1895,12
1896,7
1897,11
1898,7
1899,7
1900,10
1901,0
1902,5
1903,7
1904,5
1905,9
1906,8
1907,9
1908,5
1909,9
1910,12
1911,9
1912,15
1913,13
1914,16
1915,18
1916,20
1917,21
1918,17
1919,17
1920,20
1921,19
1922,27
1923,8
1924,28
1925,24
1926,9
1927,29
1928,25
1929,25
1930,31
1931,20
1932,30
1933,25
1934,23
1935,23
1936,16
1937,20
1938,11
1939,11
1940,17
1941,26
1942,40
1943,20
1944,18
1945,20
1946,24
1947,20
1948,17
1949,25
1950,15
1951,24
1952,17
1953,23
1954,16
1955,19
1956,26
1957,16
1958,17
1959,8
1960,15
1961,17
1962,12
1963,12
1964,13
1965,10
1966,16
1967,6
1968,9
1969,10
1970,19
1971,17
1972,21
1973,22
1974,15
1975,14
1976,21
1977,21
1978,16
1979,24
1980,18
1981,19
1982,13
1983,48
1984,33
1985,39
1986,25
1987,30
1988,25
1989,30
1990,26
1991,24
1992,12
1993,19
1994,16
1995,22
1996,21
1997,27
1998,21
1999,39
2000,38
2001,29
2002,34
2003,42
2004,59
2005,50
2006,62
2007,84
2008,118
2009,105
2010,83
2011,80
2012,70
