year,Delmer
1880,0
1881,0
1882,0
1883,7
1884,0
1885,5
1886,6
1887,5
1888,0
1889,0
1890,0
1891,5
1892,0
1893,8
1894,8
1895,0
1896,0
1897,7
1898,0
1899,9
1900,9
1901,11
1902,12
1903,12
1904,11
1905,5
1906,9
1907,24
1908,17
1909,20
1910,18
1911,25
1912,45
1913,66
1914,80
1915,113
1916,137
1917,160
1918,160
1919,188
1920,189
1921,195
1922,179
1923,204
1924,205
1925,190
1926,186
1927,181
1928,185
1929,198
1930,177
1931,171
1932,176
1933,159
1934,184
1935,183
1936,185
1937,172
1938,180
1939,155
1940,134
1941,131
1942,134
1943,123
1944,113
1945,96
1946,127
1947,112
1948,109
1949,80
1950,81
1951,80
1952,80
1953,76
1954,85
1955,82
1956,72
1957,50
1958,65
1959,54
1960,54
1961,45
1962,45
1963,43
1964,40
1965,39
1966,41
1967,28
1968,38
1969,24
1970,32
1971,22
1972,23
1973,21
1974,23
1975,20
1976,29
1977,19
1978,17
1979,15
1980,10
1981,13
1982,14
1983,9
1984,8
1985,10
1986,7
1987,9
1988,11
1989,16
1990,16
1991,0
1992,6
1993,5
1994,11
1995,7
1996,7
1997,11
1998,0
1999,8
2000,8
2001,8
2002,6
2003,5
2004,8
2005,0
2006,12
2007,9
2008,8
2009,8
2010,5
2011,5
2012,13
