year,Derwood
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,8
1913,11
1914,0
1915,19
1916,27
1917,31
1918,28
1919,34
1920,26
1921,32
1922,27
1923,32
1924,27
1925,24
1926,25
1927,24
1928,22
1929,24
1930,17
1931,25
1932,24
1933,18
1934,19
1935,25
1936,19
1937,15
1938,14
1939,13
1940,14
1941,11
1942,23
1943,21
1944,19
1945,8
1946,22
1947,16
1948,9
1949,14
1950,17
1951,11
1952,16
1953,14
1954,11
1955,20
1956,15
1957,14
1958,7
1959,11
1960,14
1961,16
1962,0
1963,14
1964,6
1965,13
1966,8
1967,8
1968,6
1969,5
1970,12
1971,5
1972,0
1973,5
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
