year,Dewaine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,7
1922,8
1923,5
1924,12
1925,0
1926,10
1927,9
1928,14
1929,14
1930,7
1931,7
1932,11
1933,9
1934,10
1935,12
1936,7
1937,10
1938,11
1939,7
1940,13
1941,13
1942,7
1943,9
1944,7
1945,13
1946,5
1947,10
1948,8
1949,9
1950,10
1951,11
1952,6
1953,11
1954,13
1955,12
1956,13
1957,12
1958,11
1959,16
1960,14
1961,7
1962,7
1963,8
1964,10
1965,8
1966,15
1967,11
1968,5
1969,14
1970,13
1971,9
1972,7
1973,0
1974,6
1975,7
1976,8
1977,7
1978,5
1979,0
1980,6
1981,5
1982,0
1983,0
1984,0
1985,7
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,7
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
