year,Dottie
1880,0
1881,7
1882,10
1883,5
1884,9
1885,10
1886,12
1887,15
1888,16
1889,10
1890,23
1891,15
1892,16
1893,17
1894,12
1895,29
1896,20
1897,23
1898,24
1899,25
1900,22
1901,19
1902,27
1903,15
1904,9
1905,33
1906,21
1907,15
1908,31
1909,21
1910,16
1911,30
1912,31
1913,26
1914,21
1915,40
1916,53
1917,51
1918,63
1919,69
1920,67
1921,63
1922,81
1923,65
1924,59
1925,65
1926,81
1927,121
1928,102
1929,109
1930,95
1931,93
1932,132
1933,104
1934,127
1935,123
1936,133
1937,136
1938,139
1939,128
1940,198
1941,212
1942,235
1943,278
1944,274
1945,242
1946,245
1947,232
1948,202
1949,148
1950,159
1951,161
1952,169
1953,159
1954,145
1955,149
1956,175
1957,200
1958,215
1959,171
1960,185
1961,187
1962,138
1963,119
1964,132
1965,81
1966,74
1967,78
1968,64
1969,65
1970,71
1971,55
1972,55
1973,55
1974,42
1975,42
1976,41
1977,44
1978,46
1979,44
1980,45
1981,24
1982,23
1983,24
1984,34
1985,23
1986,16
1987,14
1988,16
1989,9
1990,8
1991,6
1992,8
1993,5
1994,9
1995,10
1996,5
1997,5
1998,5
1999,6
2000,0
2001,7
2002,0
2003,5
2004,6
2005,0
2006,8
2007,8
2008,13
2009,17
2010,11
2011,11
2012,20
