year,Dujuan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,5
1962,7
1963,0
1964,0
1965,9
1966,5
1967,10
1968,10
1969,0
1970,14
1971,22
1972,25
1973,24
1974,20
1975,28
1976,26
1977,34
1978,16
1979,40
1980,33
1981,70
1982,63
1983,36
1984,23
1985,30
1986,29
1987,31
1988,34
1989,26
1990,36
1991,26
1992,28
1993,20
1994,24
1995,11
1996,25
1997,20
1998,20
1999,23
2000,18
2001,21
2002,20
2003,15
2004,12
2005,16
2006,13
2007,18
2008,10
2009,20
2010,15
2011,15
2012,14
