year,Egbert
1880,15
1881,7
1882,7
1883,8
1884,7
1885,8
1886,8
1887,9
1888,8
1889,10
1890,5
1891,0
1892,5
1893,0
1894,9
1895,11
1896,5
1897,6
1898,7
1899,5
1900,0
1901,0
1902,0
1903,0
1904,6
1905,5
1906,0
1907,9
1908,6
1909,12
1910,7
1911,9
1912,11
1913,26
1914,26
1915,36
1916,27
1917,40
1918,44
1919,37
1920,39
1921,47
1922,41
1923,23
1924,33
1925,26
1926,24
1927,34
1928,24
1929,18
1930,23
1931,17
1932,13
1933,12
1934,26
1935,13
1936,14
1937,5
1938,16
1939,7
1940,11
1941,9
1942,11
1943,12
1944,10
1945,7
1946,9
1947,9
1948,13
1949,10
1950,14
1951,10
1952,7
1953,10
1954,6
1955,10
1956,0
1957,6
1958,9
1959,7
1960,11
1961,7
1962,10
1963,9
1964,11
1965,6
1966,0
1967,8
1968,0
1969,9
1970,0
1971,7
1972,8
1973,0
1974,0
1975,0
1976,7
1977,0
1978,0
1979,10
1980,5
1981,6
1982,0
1983,5
1984,0
1985,0
1986,0
1987,5
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,7
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
