year,Elwin
1880,0
1881,0
1882,6
1883,5
1884,5
1885,0
1886,0
1887,7
1888,8
1889,10
1890,5
1891,10
1892,6
1893,0
1894,7
1895,8
1896,0
1897,11
1898,11
1899,7
1900,10
1901,8
1902,7
1903,8
1904,7
1905,8
1906,15
1907,10
1908,22
1909,12
1910,16
1911,24
1912,57
1913,61
1914,109
1915,124
1916,102
1917,119
1918,114
1919,104
1920,129
1921,144
1922,141
1923,147
1924,135
1925,129
1926,150
1927,119
1928,118
1929,109
1930,88
1931,106
1932,103
1933,74
1934,85
1935,79
1936,72
1937,68
1938,84
1939,60
1940,64
1941,68
1942,72
1943,70
1944,55
1945,68
1946,46
1947,50
1948,60
1949,49
1950,64
1951,45
1952,56
1953,60
1954,60
1955,46
1956,46
1957,41
1958,30
1959,35
1960,29
1961,39
1962,27
1963,26
1964,26
1965,16
1966,19
1967,20
1968,11
1969,11
1970,11
1971,15
1972,12
1973,11
1974,20
1975,17
1976,8
1977,11
1978,11
1979,11
1980,7
1981,15
1982,8
1983,9
1984,11
1985,10
1986,17
1987,14
1988,11
1989,11
1990,12
1991,18
1992,18
1993,11
1994,13
1995,10
1996,11
1997,13
1998,12
1999,10
2000,10
2001,15
2002,11
2003,10
2004,15
2005,17
2006,12
2007,14
2008,11
2009,8
2010,8
2011,15
2012,14
