year,Erskine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,5
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,5
1908,7
1909,0
1910,6
1911,7
1912,5
1913,15
1914,17
1915,17
1916,18
1917,29
1918,28
1919,22
1920,15
1921,46
1922,32
1923,30
1924,40
1925,38
1926,34
1927,32
1928,23
1929,29
1930,25
1931,31
1932,17
1933,15
1934,24
1935,15
1936,25
1937,25
1938,22
1939,25
1940,35
1941,26
1942,34
1943,32
1944,22
1945,25
1946,33
1947,48
1948,31
1949,38
1950,34
1951,38
1952,30
1953,38
1954,36
1955,38
1956,29
1957,31
1958,28
1959,22
1960,14
1961,16
1962,21
1963,16
1964,19
1965,23
1966,25
1967,24
1968,22
1969,27
1970,25
1971,27
1972,20
1973,26
1974,29
1975,16
1976,23
1977,11
1978,18
1979,17
1980,19
1981,8
1982,16
1983,14
1984,8
1985,12
1986,5
1987,10
1988,6
1989,11
1990,13
1991,11
1992,9
1993,0
1994,0
1995,0
1996,11
1997,6
1998,0
1999,0
2000,8
2001,0
2002,0
2003,0
2004,0
2005,6
2006,5
2007,5
2008,0
2009,5
2010,0
2011,5
2012,0
