year,Ever
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,7
1890,0
1891,0
1892,0
1893,11
1894,0
1895,7
1896,0
1897,7
1898,5
1899,0
1900,10
1901,12
1902,10
1903,5
1904,0
1905,5
1906,8
1907,10
1908,6
1909,8
1910,10
1911,12
1912,13
1913,14
1914,10
1915,25
1916,28
1917,14
1918,29
1919,20
1920,17
1921,22
1922,20
1923,25
1924,30
1925,34
1926,21
1927,20
1928,29
1929,21
1930,20
1931,17
1932,22
1933,23
1934,12
1935,23
1936,22
1937,32
1938,8
1939,13
1940,6
1941,24
1942,28
1943,14
1944,12
1945,10
1946,14
1947,15
1948,13
1949,9
1950,7
1951,8
1952,6
1953,5
1954,0
1955,13
1956,11
1957,9
1958,0
1959,0
1960,0
1961,6
1962,0
1963,0
1964,0
1965,0
1966,0
1967,5
1968,0
1969,0
1970,0
1971,6
1972,0
1973,0
1974,0
1975,0
1976,6
1977,5
1978,5
1979,18
1980,9
1981,5
1982,11
1983,16
1984,15
1985,21
1986,21
1987,23
1988,24
1989,38
1990,40
1991,47
1992,51
1993,62
1994,54
1995,50
1996,61
1997,65
1998,65
1999,78
2000,87
2001,110
2002,112
2003,139
2004,149
2005,158
2006,175
2007,171
2008,214
2009,215
2010,215
2011,230
2012,215
