year,Fredrick (F),Fredrick (M)
1880,0.000000,0.000511
1881,0.000000,0.000337
1882,0.000000,0.000343
1883,0.000000,0.000387
1884,0.000000,0.000353
1885,0.000000,0.000257
1886,0.000000,0.000294
1887,0.000000,0.000331
1888,0.000000,0.000274
1889,0.000000,0.000235
1890,0.000000,0.000265
1891,0.000000,0.000192
1892,0.000000,0.000206
1893,0.000000,0.000224
1894,0.000000,0.000148
1895,0.000000,0.000177
1896,0.000000,0.000134
1897,0.000000,0.000187
1898,0.000000,0.000189
1899,0.000000,0.000127
1900,0.000000,0.000149
1901,0.000000,0.000142
1902,0.000000,0.000109
1903,0.000000,0.000155
1904,0.000000,0.000107
1905,0.000000,0.000116
1906,0.000000,0.000112
1907,0.000000,0.000122
1908,0.000000,0.000135
1909,0.000000,0.000110
1910,0.000000,0.000119
1911,0.000000,0.000147
1912,0.000000,0.000195
1913,0.000000,0.000212
1914,0.000000,0.000243
1915,0.000000,0.000233
1916,0.000000,0.000226
1917,0.000000,0.000235
1918,0.000000,0.000232
1919,0.000000,0.000221
1920,0.000000,0.000247
1921,0.000000,0.000249
1922,0.000000,0.000236
1923,0.000000,0.000255
1924,0.000000,0.000246
1925,0.000000,0.000234
1926,0.000000,0.000273
1927,0.000000,0.000243
1928,0.000000,0.000242
1929,0.000002,0.000230
1930,0.000000,0.000247
1931,0.000000,0.000239
1932,0.000003,0.000231
1933,0.000003,0.000258
1934,0.000000,0.000220
1935,0.000000,0.000261
1936,0.000000,0.000302
1937,0.000000,0.000282
1938,0.000000,0.000300
1939,0.000000,0.000286
1940,0.000000,0.000322
1941,0.000000,0.000299
1942,0.000000,0.000289
1943,0.000003,0.000282
1944,0.000000,0.000274
1945,0.000000,0.000267
1946,0.000000,0.000264
1947,0.000000,0.000254
1948,0.000000,0.000272
1949,0.000000,0.000296
1950,0.000002,0.000331
1951,0.000000,0.000318
1952,0.000000,0.000318
1953,0.000002,0.000349
1954,0.000003,0.000310
1955,0.000000,0.000291
1956,0.000000,0.000275
1957,0.000002,0.000249
1958,0.000002,0.000232
1959,0.000001,0.000222
1960,0.000000,0.000218
1961,0.000001,0.000216
1962,0.000001,0.000203
1963,0.000001,0.000205
1964,0.000003,0.000224
1965,0.000002,0.000226
1966,0.000002,0.000243
1967,0.000004,0.000232
1968,0.000003,0.000244
1969,0.000002,0.000226
1970,0.000002,0.000261
1971,0.000004,0.000298
1972,0.000005,0.000300
1973,0.000003,0.000257
1974,0.000002,0.000240
1975,0.000003,0.000238
1976,0.000003,0.000209
1977,0.000000,0.000208
1978,0.000002,0.000211
1979,0.000003,0.000194
1980,0.000003,0.000180
1981,0.000002,0.000172
1982,0.000002,0.000165
1983,0.000001,0.000142
1984,0.000000,0.000135
1985,0.000000,0.000142
1986,0.000000,0.000114
1987,0.000000,0.000107
1988,0.000001,0.000101
1989,0.000000,0.000113
1990,0.000000,0.000113
1991,0.000000,0.000106
1992,0.000000,0.000104
1993,0.000000,0.000094
1994,0.000000,0.000085
1995,0.000000,0.000097
1996,0.000000,0.000084
1997,0.000000,0.000076
1998,0.000000,0.000080
1999,0.000000,0.000067
2000,0.000000,0.000064
2001,0.000000,0.000060
2002,0.000000,0.000054
2003,0.000000,0.000055
2004,0.000000,0.000059
2005,0.000000,0.000050
2006,0.000000,0.000054
2007,0.000000,0.000053
2008,0.000000,0.000042
2009,0.000000,0.000052
2010,0.000000,0.000045
2011,0.000000,0.000038
2012,0.000000,0.000034
2013,0.000000,0.000044
