year,Fritz
1880,18
1881,8
1882,21
1883,12
1884,16
1885,17
1886,13
1887,16
1888,23
1889,21
1890,16
1891,17
1892,23
1893,15
1894,17
1895,15
1896,15
1897,14
1898,15
1899,18
1900,23
1901,7
1902,13
1903,13
1904,8
1905,12
1906,8
1907,19
1908,17
1909,17
1910,14
1911,15
1912,32
1913,44
1914,52
1915,78
1916,83
1917,75
1918,76
1919,55
1920,71
1921,64
1922,64
1923,63
1924,70
1925,60
1926,68
1927,70
1928,65
1929,60
1930,60
1931,70
1932,58
1933,63
1934,70
1935,79
1936,64
1937,77
1938,59
1939,72
1940,69
1941,62
1942,55
1943,59
1944,44
1945,55
1946,57
1947,61
1948,68
1949,65
1950,69
1951,76
1952,68
1953,90
1954,97
1955,86
1956,107
1957,103
1958,93
1959,90
1960,90
1961,87
1962,85
1963,77
1964,91
1965,71
1966,66
1967,59
1968,63
1969,56
1970,66
1971,64
1972,52
1973,54
1974,32
1975,43
1976,54
1977,37
1978,39
1979,33
1980,38
1981,32
1982,48
1983,33
1984,38
1985,45
1986,40
1987,25
1988,38
1989,33
1990,43
1991,32
1992,26
1993,31
1994,21
1995,32
1996,24
1997,22
1998,24
1999,23
2000,22
2001,24
2002,33
2003,28
2004,22
2005,22
2006,22
2007,30
2008,35
2009,32
2010,27
2011,47
2012,30
