year,Gabriel (F),Gabriel (M)
1880,0.000000,0.000074
1881,0.000000,0.000088
1882,0.000000,0.000090
1883,0.000000,0.000046
1884,0.000000,0.000086
1885,0.000000,0.000046
1886,0.000000,0.000051
1887,0.000000,0.000073
1888,0.000000,0.000043
1889,0.000000,0.000031
1890,0.000000,0.000050
1891,0.000000,0.000035
1892,0.000000,0.000030
1893,0.000000,0.000049
1894,0.000000,0.000065
1895,0.000000,0.000040
1896,0.000000,0.000050
1897,0.000000,0.000029
1898,0.000000,0.000045
1899,0.000000,0.000035
1900,0.000000,0.000042
1901,0.000000,0.000061
1902,0.000000,0.000059
1903,0.000000,0.000047
1904,0.000000,0.000035
1905,0.000000,0.000068
1906,0.000000,0.000037
1907,0.000000,0.000045
1908,0.000000,0.000070
1909,0.000000,0.000076
1910,0.000008,0.000069
1911,0.000000,0.000073
1912,0.000009,0.000085
1913,0.000004,0.000100
1914,0.000000,0.000092
1915,0.000004,0.000094
1916,0.000003,0.000090
1917,0.000002,0.000095
1918,0.000002,0.000088
1919,0.000000,0.000091
1920,0.000002,0.000089
1921,0.000003,0.000094
1922,0.000000,0.000085
1923,0.000002,0.000091
1924,0.000003,0.000099
1925,0.000000,0.000087
1926,0.000000,0.000088
1927,0.000000,0.000107
1928,0.000000,0.000112
1929,0.000002,0.000108
1930,0.000000,0.000099
1931,0.000000,0.000099
1932,0.000000,0.000087
1933,0.000000,0.000094
1934,0.000000,0.000079
1935,0.000002,0.000085
1936,0.000000,0.000097
1937,0.000002,0.000081
1938,0.000000,0.000077
1939,0.000000,0.000069
1940,0.000000,0.000084
1941,0.000002,0.000085
1942,0.000002,0.000071
1943,0.000002,0.000071
1944,0.000000,0.000072
1945,0.000000,0.000062
1946,0.000000,0.000054
1947,0.000002,0.000066
1948,0.000000,0.000063
1949,0.000003,0.000076
1950,0.000001,0.000074
1951,0.000000,0.000066
1952,0.000000,0.000070
1953,0.000000,0.000071
1954,0.000002,0.000072
1955,0.000001,0.000083
1956,0.000000,0.000083
1957,0.000002,0.000092
1958,0.000003,0.000087
1959,0.000000,0.000108
1960,0.000003,0.000103
1961,0.000003,0.000133
1962,0.000003,0.000142
1963,0.000004,0.000147
1964,0.000004,0.000159
1965,0.000005,0.000172
1966,0.000002,0.000157
1967,0.000004,0.000189
1968,0.000004,0.000217
1969,0.000006,0.000249
1970,0.000010,0.000345
1971,0.000010,0.000461
1972,0.000011,0.000610
1973,0.000014,0.000658
1974,0.000012,0.000733
1975,0.000015,0.000804
1976,0.000018,0.001088
1977,0.000018,0.001053
1978,0.000021,0.000987
1979,0.000017,0.000972
1980,0.000020,0.001014
1981,0.000016,0.000976
1982,0.000018,0.000959
1983,0.000022,0.000943
1984,0.000023,0.000952
1985,0.000020,0.000899
1986,0.000024,0.000856
1987,0.000045,0.000853
1988,0.000047,0.000844
1989,0.000044,0.000790
1990,0.000054,0.000935
1991,0.000062,0.001133
1992,0.000061,0.001129
1993,0.000063,0.001160
1994,0.000070,0.001490
1995,0.000063,0.001561
1996,0.000063,0.001617
1997,0.000073,0.001766
1998,0.000070,0.001923
1999,0.000076,0.001996
2000,0.000078,0.002297
2001,0.000064,0.002917
2002,0.000056,0.003227
2003,0.000048,0.003294
2004,0.000061,0.003025
2005,0.000046,0.003320
2006,0.000044,0.003171
2007,0.000041,0.003231
2008,0.000037,0.003317
2009,0.000038,0.003358
2010,0.000027,0.003487
2011,0.000023,0.003377
2012,0.000019,0.003162
