year,Genny
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,7
1926,6
1927,7
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,5
1937,5
1938,8
1939,7
1940,6
1941,5
1942,14
1943,12
1944,10
1945,10
1946,13
1947,14
1948,15
1949,10
1950,13
1951,11
1952,30
1953,23
1954,21
1955,16
1956,23
1957,18
1958,27
1959,38
1960,29
1961,36
1962,32
1963,31
1964,26
1965,15
1966,18
1967,10
1968,13
1969,27
1970,19
1971,47
1972,27
1973,29
1974,20
1975,22
1976,23
1977,37
1978,21
1979,32
1980,27
1981,30
1982,37
1983,30
1984,38
1985,21
1986,40
1987,21
1988,8
1989,23
1990,17
1991,12
1992,19
1993,7
1994,0
1995,8
1996,15
1997,8
1998,0
1999,5
2000,10
2001,8
2002,6
2003,0
2004,0
2005,6
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
