year,Glendon (F),Glendon (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000000
1906,0.000000,0.000014
1907,0.000000,0.000000
1908,0.000000,0.000010
1909,0.000000,0.000016
1910,0.000000,0.000012
1911,0.000000,0.000016
1912,0.000000,0.000023
1913,0.000000,0.000018
1914,0.000000,0.000024
1915,0.000000,0.000019
1916,0.000000,0.000027
1917,0.000000,0.000037
1918,0.000005,0.000024
1919,0.000004,0.000031
1920,0.000000,0.000040
1921,0.000000,0.000033
1922,0.000003,0.000037
1923,0.000003,0.000036
1924,0.000000,0.000039
1925,0.000003,0.000031
1926,0.000000,0.000037
1927,0.000003,0.000032
1928,0.000000,0.000042
1929,0.000000,0.000030
1930,0.000004,0.000032
1931,0.000000,0.000033
1932,0.000000,0.000037
1933,0.000000,0.000043
1934,0.000000,0.000035
1935,0.000002,0.000029
1936,0.000000,0.000031
1937,0.000000,0.000030
1938,0.000000,0.000030
1939,0.000000,0.000023
1940,0.000000,0.000025
1941,0.000000,0.000028
1942,0.000000,0.000022
1943,0.000000,0.000023
1944,0.000000,0.000022
1945,0.000000,0.000019
1946,0.000002,0.000013
1947,0.000000,0.000017
1948,0.000000,0.000017
1949,0.000000,0.000017
1950,0.000000,0.000012
1951,0.000000,0.000016
1952,0.000000,0.000014
1953,0.000000,0.000013
1954,0.000000,0.000015
1955,0.000000,0.000012
1956,0.000000,0.000011
1957,0.000000,0.000010
1958,0.000000,0.000009
1959,0.000000,0.000009
1960,0.000000,0.000011
1961,0.000000,0.000012
1962,0.000000,0.000010
1963,0.000000,0.000011
1964,0.000000,0.000009
1965,0.000000,0.000009
1966,0.000000,0.000008
1967,0.000000,0.000006
1968,0.000000,0.000009
1969,0.000000,0.000009
1970,0.000000,0.000009
1971,0.000000,0.000009
1972,0.000000,0.000007
1973,0.000000,0.000011
1974,0.000000,0.000012
1975,0.000000,0.000039
1976,0.000000,0.000019
1977,0.000000,0.000014
1978,0.000000,0.000012
1979,0.000000,0.000012
1980,0.000000,0.000008
1981,0.000000,0.000007
1982,0.000000,0.000009
1983,0.000000,0.000008
1984,0.000000,0.000008
1985,0.000000,0.000007
1986,0.000000,0.000010
1987,0.000000,0.000007
1988,0.000000,0.000006
1989,0.000000,0.000008
1990,0.000000,0.000008
1991,0.000000,0.000007
1992,0.000000,0.000006
1993,0.000000,0.000006
1994,0.000000,0.000006
1995,0.000000,0.000005
1996,0.000000,0.000006
1997,0.000000,0.000006
1998,0.000000,0.000005
1999,0.000000,0.000007
2000,0.000000,0.000006
2001,0.000000,0.000004
2002,0.000000,0.000003
2003,0.000000,0.000004
2004,0.000000,0.000006
2005,0.000000,0.000004
2006,0.000000,0.000004
2007,0.000000,0.000004
2008,0.000000,0.000004
2009,0.000000,0.000003
2010,0.000000,0.000002
2011,0.000000,0.000007
2012,0.000000,0.000006
