year,Gunther
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,5
1926,6
1927,8
1928,15
1929,17
1930,10
1931,16
1932,9
1933,7
1934,13
1935,0
1936,6
1937,0
1938,9
1939,6
1940,7
1941,6
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,10
1955,0
1956,6
1957,9
1958,6
1959,5
1960,0
1961,6
1962,10
1963,15
1964,0
1965,12
1966,14
1967,6
1968,14
1969,14
1970,11
1971,9
1972,12
1973,10
1974,5
1975,0
1976,7
1977,7
1978,5
1979,6
1980,7
1981,0
1982,0
1983,9
1984,6
1985,7
1986,8
1987,11
1988,10
1989,10
1990,13
1991,15
1992,26
1993,24
1994,18
1995,32
1996,25
1997,30
1998,27
1999,28
2000,15
2001,17
2002,18
2003,18
2004,18
2005,18
2006,14
2007,16
2008,9
2009,12
2010,11
2011,16
2012,20
