year,Gurney
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,7
1895,5
1896,6
1897,0
1898,0
1899,6
1900,0
1901,0
1902,7
1903,0
1904,0
1905,5
1906,5
1907,0
1908,0
1909,5
1910,0
1911,5
1912,9
1913,16
1914,17
1915,18
1916,14
1917,20
1918,20
1919,13
1920,18
1921,17
1922,11
1923,11
1924,23
1925,17
1926,13
1927,21
1928,26
1929,17
1930,16
1931,16
1932,21
1933,14
1934,16
1935,14
1936,8
1937,10
1938,15
1939,11
1940,11
1941,20
1942,10
1943,10
1944,17
1945,14
1946,15
1947,15
1948,9
1949,21
1950,13
1951,12
1952,13
1953,17
1954,16
1955,9
1956,0
1957,9
1958,8
1959,9
1960,6
1961,5
1962,0
1963,8
1964,5
1965,9
1966,5
1967,0
1968,0
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
