year,Hervey
1880,7
1881,0
1882,6
1883,0
1884,5
1885,6
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,5
1894,12
1895,0
1896,7
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,7
1912,8
1913,16
1914,16
1915,13
1916,18
1917,30
1918,30
1919,26
1920,26
1921,28
1922,23
1923,17
1924,22
1925,23
1926,23
1927,18
1928,27
1929,21
1930,19
1931,12
1932,19
1933,14
1934,17
1935,13
1936,19
1937,17
1938,14
1939,15
1940,17
1941,17
1942,12
1943,16
1944,14
1945,9
1946,14
1947,21
1948,14
1949,16
1950,7
1951,8
1952,13
1953,9
1954,5
1955,14
1956,8
1957,8
1958,9
1959,9
1960,8
1961,5
1962,6
1963,10
1964,5
1965,8
1966,10
1967,6
1968,5
1969,0
1970,0
1971,0
1972,5
1973,8
1974,0
1975,6
1976,5
1977,9
1978,0
1979,6
1980,6
1981,6
1982,11
1983,0
1984,0
1985,6
1986,9
1987,7
1988,0
1989,8
1990,0
1991,13
1992,0
1993,7
1994,7
1995,0
1996,7
1997,5
1998,7
1999,0
2000,10
2001,0
2002,7
2003,8
2004,0
2005,0
2006,5
2007,9
2008,8
2009,0
2010,0
2011,0
2012,0
