year,Hollie
1880,6
1881,0
1882,5
1883,10
1884,0
1885,5
1886,13
1887,8
1888,15
1889,10
1890,0
1891,7
1892,12
1893,7
1894,12
1895,14
1896,5
1897,6
1898,13
1899,15
1900,19
1901,18
1902,5
1903,5
1904,5
1905,9
1906,17
1907,0
1908,13
1909,21
1910,34
1911,20
1912,20
1913,28
1914,38
1915,53
1916,53
1917,34
1918,54
1919,55
1920,41
1921,54
1922,52
1923,29
1924,44
1925,38
1926,41
1927,59
1928,40
1929,38
1930,36
1931,28
1932,48
1933,34
1934,31
1935,43
1936,32
1937,31
1938,29
1939,36
1940,30
1941,27
1942,46
1943,40
1944,48
1945,41
1946,40
1947,54
1948,56
1949,49
1950,50
1951,54
1952,59
1953,94
1954,98
1955,95
1956,114
1957,107
1958,92
1959,88
1960,100
1961,87
1962,121
1963,119
1964,120
1965,159
1966,167
1967,149
1968,182
1969,259
1970,324
1971,341
1972,329
1973,464
1974,484
1975,523
1976,582
1977,626
1978,598
1979,629
1980,603
1981,467
1982,538
1983,662
1984,649
1985,572
1986,463
1987,396
1988,440
1989,414
1990,369
1991,394
1992,334
1993,363
1994,277
1995,266
1996,249
1997,230
1998,200
1999,200
2000,179
2001,191
2002,151
2003,147
2004,138
2005,92
2006,129
2007,118
2008,138
2009,112
2010,95
2011,124
2012,135
