year,Josue
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,6
1925,0
1926,0
1927,0
1928,0
1929,9
1930,0
1931,0
1932,6
1933,8
1934,5
1935,6
1936,6
1937,6
1938,9
1939,6
1940,5
1941,0
1942,5
1943,5
1944,0
1945,6
1946,11
1947,0
1948,9
1949,8
1950,13
1951,10
1952,16
1953,11
1954,9
1955,10
1956,22
1957,19
1958,24
1959,24
1960,20
1961,34
1962,20
1963,37
1964,35
1965,35
1966,42
1967,41
1968,38
1969,51
1970,49
1971,66
1972,80
1973,117
1974,152
1975,165
1976,175
1977,196
1978,190
1979,251
1980,333
1981,349
1982,323
1983,352
1984,408
1985,424
1986,490
1987,545
1988,626
1989,706
1990,872
1991,977
1992,999
1993,995
1994,1078
1995,1093
1996,1144
1997,1159
1998,1180
1999,1315
2000,1358
2001,1567
2002,1571
2003,1674
2004,1746
2005,1960
2006,2060
2007,2272
2008,2166
2009,1982
2010,1996
2011,1646
2012,1513
