year,Julious
1880,5
1881,5
1882,7
1883,5
1884,9
1885,0
1886,8
1887,0
1888,7
1889,0
1890,5
1891,0
1892,0
1893,5
1894,5
1895,5
1896,0
1897,8
1898,0
1899,6
1900,10
1901,6
1902,0
1903,8
1904,5
1905,5
1906,6
1907,8
1908,0
1909,6
1910,12
1911,12
1912,12
1913,16
1914,20
1915,25
1916,27
1917,32
1918,23
1919,36
1920,27
1921,31
1922,28
1923,24
1924,29
1925,32
1926,28
1927,33
1928,33
1929,24
1930,39
1931,32
1932,33
1933,30
1934,20
1935,27
1936,15
1937,18
1938,35
1939,25
1940,15
1941,10
1942,9
1943,16
1944,15
1945,12
1946,24
1947,26
1948,14
1949,16
1950,15
1951,12
1952,12
1953,23
1954,7
1955,9
1956,8
1957,14
1958,14
1959,13
1960,13
1961,14
1962,18
1963,10
1964,10
1965,0
1966,5
1967,0
1968,7
1969,0
1970,8
1971,9
1972,5
1973,6
1974,0
1975,10
1976,7
1977,7
1978,6
1979,5
1980,10
1981,6
1982,9
1983,11
1984,0
1985,7
1986,7
1987,0
1988,8
1989,12
1990,10
1991,10
1992,7
1993,8
1994,0
1995,6
1996,7
1997,9
1998,8
1999,10
2000,8
2001,11
2002,10
2003,10
2004,11
2005,15
2006,8
2007,20
2008,26
2009,21
2010,18
2011,13
2012,19
