year,Kenji
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,9
1915,6
1916,10
1917,15
1918,17
1919,23
1920,27
1921,15
1922,30
1923,24
1924,20
1925,29
1926,16
1927,16
1928,17
1929,19
1930,11
1931,10
1932,6
1933,12
1934,9
1935,10
1936,6
1937,12
1938,9
1939,11
1940,8
1941,0
1942,0
1943,7
1944,8
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,7
1959,6
1960,8
1961,7
1962,7
1963,7
1964,8
1965,9
1966,11
1967,13
1968,17
1969,17
1970,16
1971,19
1972,20
1973,28
1974,25
1975,32
1976,27
1977,56
1978,135
1979,84
1980,78
1981,40
1982,45
1983,28
1984,35
1985,30
1986,34
1987,22
1988,27
1989,28
1990,30
1991,32
1992,38
1993,31
1994,27
1995,55
1996,43
1997,44
1998,66
1999,56
2000,52
2001,72
2002,64
2003,60
2004,60
2005,75
2006,99
2007,108
2008,144
2009,166
2010,119
2011,147
2012,124
