year,Lacey (F),Lacey (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000023
1887,0.000000,0.000000
1888,0.000017,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000013
1901,0.000000,0.000014
1902,0.000000,0.000013
1903,0.000016,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000015
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000014
1912,0.000000,0.000015
1913,0.000000,0.000009
1914,0.000000,0.000007
1915,0.000004,0.000007
1916,0.000004,0.000007
1917,0.000004,0.000007
1918,0.000000,0.000004
1919,0.000000,0.000009
1920,0.000000,0.000005
1921,0.000003,0.000010
1922,0.000003,0.000007
1923,0.000000,0.000009
1924,0.000003,0.000007
1925,0.000003,0.000006
1926,0.000002,0.000007
1927,0.000000,0.000007
1928,0.000000,0.000008
1929,0.000000,0.000009
1930,0.000002,0.000005
1931,0.000000,0.000002
1932,0.000000,0.000003
1933,0.000003,0.000011
1934,0.000000,0.000008
1935,0.000000,0.000011
1936,0.000002,0.000008
1937,0.000000,0.000004
1938,0.000000,0.000005
1939,0.000003,0.000007
1940,0.000003,0.000007
1941,0.000002,0.000009
1942,0.000003,0.000004
1943,0.000002,0.000005
1944,0.000004,0.000004
1945,0.000003,0.000004
1946,0.000002,0.000003
1947,0.000004,0.000004
1948,0.000002,0.000005
1949,0.000003,0.000008
1950,0.000002,0.000006
1951,0.000002,0.000003
1952,0.000003,0.000007
1953,0.000004,0.000005
1954,0.000005,0.000004
1955,0.000004,0.000004
1956,0.000003,0.000004
1957,0.000005,0.000003
1958,0.000004,0.000004
1959,0.000004,0.000003
1960,0.000005,0.000004
1961,0.000007,0.000004
1962,0.000014,0.000004
1963,0.000009,0.000004
1964,0.000006,0.000003
1965,0.000009,0.000003
1966,0.000008,0.000003
1967,0.000009,0.000006
1968,0.000016,0.000005
1969,0.000019,0.000004
1970,0.000025,0.000005
1971,0.000020,0.000003
1972,0.000022,0.000008
1973,0.000031,0.000004
1974,0.000027,0.000005
1975,0.000097,0.000006
1976,0.000080,0.000006
1977,0.000096,0.000003
1978,0.000248,0.000005
1979,0.000238,0.000003
1980,0.000260,0.000005
1981,0.000396,0.000007
1982,0.000680,0.000007
1983,0.000688,0.000007
1984,0.000688,0.000006
1985,0.000661,0.000006
1986,0.000637,0.000004
1987,0.000666,0.000006
1988,0.000607,0.000005
1989,0.000540,0.000005
1990,0.000518,0.000004
1991,0.000531,0.000005
1992,0.000457,0.000005
1993,0.000404,0.000002
1994,0.000376,0.000003
1995,0.000330,0.000002
1996,0.000289,0.000004
1997,0.000273,0.000002
1998,0.000256,0.000001
1999,0.000235,0.000002
2000,0.000209,0.000000
2001,0.000186,0.000001
2002,0.000161,0.000002
2003,0.000214,0.000002
2004,0.000187,0.000003
2005,0.000181,0.000000
2006,0.000180,0.000000
2007,0.000209,0.000001
2008,0.000202,0.000000
2009,0.000194,0.000002
2010,0.000190,0.000000
2011,0.000193,0.000000
2012,0.000170,0.000000
2013,0.000180,0.000002
