year,Lakisha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,6
1968,12
1969,19
1970,49
1971,123
1972,227
1973,375
1974,628
1975,844
1976,914
1977,1148
1978,1066
1979,1048
1980,912
1981,802
1982,712
1983,561
1984,480
1985,368
1986,326
1987,271
1988,243
1989,193
1990,160
1991,142
1992,124
1993,111
1994,73
1995,55
1996,51
1997,37
1998,41
1999,24
2000,27
2001,23
2002,19
2003,18
2004,16
2005,13
2006,9
2007,14
2008,9
2009,9
2010,5
2011,6
2012,0
