year,Loretta
1880,41
1881,58
1882,72
1883,76
1884,94
1885,91
1886,141
1887,134
1888,157
1889,172
1890,228
1891,212
1892,263
1893,323
1894,330
1895,365
1896,391
1897,406
1898,454
1899,410
1900,535
1901,438
1902,461
1903,505
1904,506
1905,527
1906,520
1907,520
1908,566
1909,573
1910,655
1911,746
1912,984
1913,1074
1914,1329
1915,1815
1916,1910
1917,1970
1918,2051
1919,2074
1920,2122
1921,2139
1922,2102
1923,2141
1924,2269
1925,2265
1926,2113
1927,2025
1928,2005
1929,1950
1930,2496
1931,2585
1932,2759
1933,2725
1934,2990
1935,3383
1936,3339
1937,3683
1938,3927
1939,3786
1940,3512
1941,3114
1942,3417
1943,3176
1944,2755
1945,2666
1946,2903
1947,3008
1948,2874
1949,2777
1950,2731
1951,2492
1952,2624
1953,2663
1954,3248
1955,3441
1956,3416
1957,3352
1958,3317
1959,3172
1960,3200
1961,2934
1962,2523
1963,2510
1964,2235
1965,1844
1966,1909
1967,1808
1968,1633
1969,1549
1970,1372
1971,1306
1972,1049
1973,973
1974,956
1975,777
1976,671
1977,570
1978,482
1979,497
1980,418
1981,494
1982,413
1983,346
1984,308
1985,287
1986,297
1987,269
1988,251
1989,201
1990,207
1991,184
1992,141
1993,138
1994,135
1995,123
1996,138
1997,108
1998,101
1999,102
2000,91
2001,75
2002,74
2003,80
2004,88
2005,102
2006,111
2007,104
2008,106
2009,84
2010,96
2011,106
2012,122
