year,Lucky
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,6
1915,0
1916,11
1917,7
1918,0
1919,7
1920,7
1921,21
1922,19
1923,16
1924,15
1925,22
1926,26
1927,32
1928,22
1929,10
1930,19
1931,17
1932,9
1933,0
1934,11
1935,7
1936,7
1937,11
1938,20
1939,13
1940,29
1941,23
1942,23
1943,49
1944,46
1945,55
1946,46
1947,57
1948,34
1949,47
1950,44
1951,36
1952,46
1953,54
1954,45
1955,39
1956,50
1957,31
1958,33
1959,18
1960,50
1961,29
1962,36
1963,35
1964,34
1965,34
1966,29
1967,34
1968,35
1969,16
1970,19
1971,26
1972,29
1973,28
1974,15
1975,32
1976,26
1977,28
1978,15
1979,30
1980,27
1981,29
1982,31
1983,28
1984,23
1985,23
1986,26
1987,16
1988,34
1989,23
1990,41
1991,59
1992,29
1993,38
1994,56
1995,51
1996,60
1997,53
1998,51
1999,54
2000,52
2001,50
2002,62
2003,55
2004,75
2005,72
2006,80
2007,73
2008,65
2009,61
2010,68
2011,55
2012,47
