year,Luverne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,8
1908,0
1909,5
1910,5
1911,8
1912,26
1913,25
1914,42
1915,52
1916,63
1917,74
1918,91
1919,81
1920,81
1921,93
1922,79
1923,79
1924,100
1925,84
1926,73
1927,76
1928,62
1929,63
1930,61
1931,62
1932,40
1933,36
1934,44
1935,37
1936,32
1937,39
1938,26
1939,22
1940,20
1941,26
1942,25
1943,21
1944,21
1945,10
1946,10
1947,8
1948,18
1949,10
1950,17
1951,12
1952,7
1953,15
1954,0
1955,6
1956,6
1957,6
1958,0
1959,6
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
