year,Macie
1880,0
1881,0
1882,6
1883,6
1884,7
1885,8
1886,7
1887,8
1888,0
1889,6
1890,16
1891,13
1892,12
1893,15
1894,14
1895,14
1896,19
1897,23
1898,22
1899,20
1900,21
1901,42
1902,19
1903,27
1904,23
1905,29
1906,25
1907,36
1908,35
1909,36
1910,51
1911,49
1912,55
1913,56
1914,59
1915,71
1916,89
1917,81
1918,79
1919,79
1920,83
1921,72
1922,76
1923,74
1924,77
1925,64
1926,65
1927,62
1928,56
1929,51
1930,40
1931,45
1932,49
1933,52
1934,35
1935,40
1936,31
1937,42
1938,32
1939,25
1940,23
1941,28
1942,26
1943,30
1944,32
1945,24
1946,18
1947,18
1948,13
1949,15
1950,15
1951,19
1952,14
1953,19
1954,17
1955,11
1956,16
1957,8
1958,11
1959,7
1960,7
1961,9
1962,21
1963,9
1964,11
1965,13
1966,10
1967,8
1968,7
1969,9
1970,10
1971,13
1972,18
1973,14
1974,15
1975,20
1976,23
1977,22
1978,13
1979,11
1980,17
1981,16
1982,16
1983,21
1984,19
1985,20
1986,30
1987,32
1988,37
1989,60
1990,113
1991,161
1992,181
1993,183
1994,209
1995,266
1996,278
1997,310
1998,316
1999,440
2000,561
2001,617
2002,594
2003,637
2004,620
2005,664
2006,658
2007,716
2008,736
2009,769
2010,850
2011,903
2012,839
