year,Mackey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,10
1920,0
1921,8
1922,0
1923,0
1924,0
1925,6
1926,7
1927,6
1928,9
1929,0
1930,0
1931,0
1932,12
1933,7
1934,0
1935,5
1936,6
1937,10
1938,9
1939,12
1940,12
1941,9
1942,19
1943,14
1944,14
1945,15
1946,18
1947,16
1948,12
1949,6
1950,24
1951,13
1952,16
1953,15
1954,6
1955,10
1956,13
1957,10
1958,7
1959,10
1960,7
1961,11
1962,10
1963,0
1964,6
1965,8
1966,6
1967,6
1968,0
1969,9
1970,8
1971,0
1972,0
1973,8
1974,0
1975,0
1976,7
1977,0
1978,6
1979,7
1980,0
1981,8
1982,5
1983,5
1984,0
1985,0
1986,0
1987,5
1988,0
1989,5
1990,0
1991,7
1992,6
1993,0
1994,0
1995,0
1996,8
1997,0
1998,9
1999,0
2000,0
2001,8
2002,8
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,7
2011,0
2012,5
