year,Maisie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,6
1892,8
1893,8
1894,0
1895,0
1896,6
1897,5
1898,11
1899,6
1900,10
1901,9
1902,5
1903,9
1904,0
1905,6
1906,7
1907,5
1908,8
1909,8
1910,0
1911,15
1912,10
1913,13
1914,13
1915,27
1916,13
1917,17
1918,20
1919,20
1920,22
1921,35
1922,27
1923,32
1924,27
1925,26
1926,23
1927,25
1928,27
1929,23
1930,20
1931,11
1932,16
1933,8
1934,11
1935,9
1936,8
1937,6
1938,7
1939,0
1940,7
1941,8
1942,7
1943,0
1944,6
1945,5
1946,7
1947,8
1948,5
1949,7
1950,5
1951,0
1952,0
1953,0
1954,0
1955,0
1956,6
1957,0
1958,0
1959,0
1960,0
1961,7
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,5
1970,6
1971,10
1972,0
1973,7
1974,14
1975,11
1976,16
1977,12
1978,13
1979,12
1980,15
1981,10
1982,18
1983,11
1984,13
1985,15
1986,14
1987,12
1988,20
1989,17
1990,30
1991,46
1992,60
1993,45
1994,56
1995,48
1996,63
1997,64
1998,98
1999,92
2000,88
2001,101
2002,98
2003,96
2004,106
2005,117
2006,119
2007,131
2008,114
2009,116
2010,123
2011,137
2012,149
