year,Marian
1880,56
1881,45
1882,47
1883,48
1884,66
1885,69
1886,60
1887,85
1888,97
1889,90
1890,117
1891,108
1892,169
1893,140
1894,124
1895,265
1896,272
1897,309
1898,348
1899,342
1900,416
1901,304
1902,343
1903,360
1904,412
1905,460
1906,498
1907,566
1908,584
1909,646
1910,816
1911,895
1912,1327
1913,1469
1914,1896
1915,2637
1916,3231
1917,3296
1918,3540
1919,3300
1920,3874
1921,4095
1922,3979
1923,4061
1924,4235
1925,4005
1926,3905
1927,3747
1928,3932
1929,3477
1930,3252
1931,2900
1932,2856
1933,2656
1934,2444
1935,2291
1936,2085
1937,1923
1938,1883
1939,1854
1940,1704
1941,1690
1942,1845
1943,1801
1944,1598
1945,1458
1946,1648
1947,1615
1948,1398
1949,1360
1950,1268
1951,1244
1952,1255
1953,1372
1954,4028
1955,1513
1956,1264
1957,1350
1958,1060
1959,1075
1960,1028
1961,913
1962,913
1963,860
1964,764
1965,600
1966,523
1967,489
1968,399
1969,352
1970,382
1971,323
1972,269
1973,265
1974,244
1975,211
1976,224
1977,216
1978,199
1979,189
1980,222
1981,204
1982,238
1983,186
1984,199
1985,200
1986,212
1987,179
1988,183
1989,201
1990,212
1991,237
1992,216
1993,176
1994,186
1995,153
1996,164
1997,160
1998,130
1999,171
2000,315
2001,205
2002,197
2003,190
2004,208
2005,209
2006,202
2007,181
2008,201
2009,169
2010,210
2011,151
2012,184
