year,Marquetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,7
1930,5
1931,5
1932,7
1933,5
1934,6
1935,5
1936,0
1937,0
1938,8
1939,5
1940,10
1941,7
1942,11
1943,7
1944,9
1945,14
1946,13
1947,14
1948,19
1949,12
1950,15
1951,12
1952,22
1953,14
1954,25
1955,20
1956,22
1957,29
1958,23
1959,27
1960,27
1961,31
1962,26
1963,20
1964,23
1965,27
1966,18
1967,30
1968,28
1969,16
1970,28
1971,34
1972,46
1973,50
1974,29
1975,35
1976,49
1977,48
1978,45
1979,40
1980,48
1981,41
1982,62
1983,80
1984,91
1985,72
1986,82
1987,65
1988,64
1989,83
1990,68
1991,48
1992,49
1993,51
1994,31
1995,28
1996,22
1997,27
1998,16
1999,13
2000,11
2001,9
2002,6
2003,8
2004,6
2005,0
2006,5
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
