year,Marquette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,6
1949,0
1950,9
1951,5
1952,0
1953,5
1954,5
1955,14
1956,8
1957,7
1958,8
1959,0
1960,13
1961,23
1962,17
1963,14
1964,18
1965,17
1966,16
1967,23
1968,20
1969,33
1970,31
1971,48
1972,51
1973,38
1974,48
1975,45
1976,46
1977,58
1978,47
1979,39
1980,36
1981,33
1982,45
1983,42
1984,59
1985,47
1986,49
1987,55
1988,48
1989,46
1990,61
1991,53
1992,68
1993,46
1994,53
1995,34
1996,35
1997,36
1998,35
1999,27
2000,20
2001,24
2002,20
2003,24
2004,14
2005,31
2006,16
2007,11
2008,17
2009,15
2010,12
2011,8
2012,17
