year,Marty (F),Marty (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000017
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000021
1904,0.000000,0.000020
1905,0.000000,0.000012
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000000
1909,0.000000,0.000012
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000009
1913,0.000000,0.000011
1914,0.000000,0.000011
1915,0.000000,0.000007
1916,0.000000,0.000008
1917,0.000002,0.000011
1918,0.000004,0.000005
1919,0.000000,0.000007
1920,0.000003,0.000005
1921,0.000004,0.000006
1922,0.000002,0.000009
1923,0.000003,0.000007
1924,0.000004,0.000009
1925,0.000002,0.000005
1926,0.000005,0.000009
1927,0.000005,0.000009
1928,0.000004,0.000008
1929,0.000008,0.000010
1930,0.000003,0.000014
1931,0.000009,0.000013
1932,0.000005,0.000012
1933,0.000005,0.000015
1934,0.000009,0.000014
1935,0.000004,0.000012
1936,0.000007,0.000017
1937,0.000010,0.000021
1938,0.000012,0.000021
1939,0.000012,0.000023
1940,0.000013,0.000022
1941,0.000013,0.000024
1942,0.000016,0.000031
1943,0.000024,0.000031
1944,0.000024,0.000034
1945,0.000028,0.000045
1946,0.000023,0.000046
1947,0.000019,0.000047
1948,0.000027,0.000047
1949,0.000024,0.000052
1950,0.000025,0.000051
1951,0.000028,0.000060
1952,0.000026,0.000074
1953,0.000025,0.000094
1954,0.000018,0.000106
1955,0.000021,0.000155
1956,0.000032,0.000245
1957,0.000038,0.000321
1958,0.000032,0.000342
1959,0.000028,0.000350
1960,0.000029,0.000370
1961,0.000032,0.000352
1962,0.000030,0.000401
1963,0.000037,0.000401
1964,0.000029,0.000372
1965,0.000024,0.000336
1966,0.000024,0.000281
1967,0.000022,0.000289
1968,0.000026,0.000297
1969,0.000023,0.000277
1970,0.000029,0.000255
1971,0.000027,0.000240
1972,0.000022,0.000195
1973,0.000028,0.000196
1974,0.000025,0.000203
1975,0.000019,0.000189
1976,0.000016,0.000159
1977,0.000017,0.000139
1978,0.000017,0.000106
1979,0.000007,0.000100
1980,0.000007,0.000089
1981,0.000008,0.000070
1982,0.000004,0.000066
1983,0.000003,0.000060
1984,0.000003,0.000052
1985,0.000006,0.000043
1986,0.000003,0.000050
1987,0.000006,0.000048
1988,0.000005,0.000051
1989,0.000002,0.000044
1990,0.000005,0.000043
1991,0.000001,0.000038
1992,0.000002,0.000033
1993,0.000004,0.000032
1994,0.000006,0.000037
1995,0.000001,0.000026
1996,0.000003,0.000029
1997,0.000003,0.000022
1998,0.000002,0.000025
1999,0.000002,0.000019
2000,0.000000,0.000024
2001,0.000002,0.000017
2002,0.000001,0.000017
2003,0.000002,0.000015
2004,0.000001,0.000013
2005,0.000000,0.000014
2006,0.000000,0.000011
2007,0.000002,0.000016
2008,0.000001,0.000013
2009,0.000000,0.000014
2010,0.000000,0.000011
2011,0.000000,0.000012
2012,0.000000,0.000013
2013,0.000002,0.000011
