year,Marysue
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,8
1917,8
1918,6
1919,0
1920,0
1921,0
1922,0
1923,6
1924,0
1925,5
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,6
1937,9
1938,6
1939,7
1940,10
1941,11
1942,0
1943,19
1944,12
1945,12
1946,9
1947,17
1948,11
1949,9
1950,11
1951,13
1952,5
1953,5
1954,10
1955,12
1956,9
1957,9
1958,20
1959,19
1960,23
1961,12
1962,21
1963,11
1964,18
1965,8
1966,7
1967,9
1968,11
1969,6
1970,0
1971,5
1972,8
1973,7
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
