year,Nell
1880,77
1881,75
1882,103
1883,116
1884,120
1885,151
1886,175
1887,146
1888,188
1889,194
1890,221
1891,190
1892,216
1893,187
1894,215
1895,247
1896,215
1897,209
1898,246
1899,192
1900,261
1901,205
1902,247
1903,206
1904,226
1905,229
1906,241
1907,261
1908,288
1909,277
1910,324
1911,322
1912,422
1913,499
1914,530
1915,689
1916,729
1917,766
1918,696
1919,674
1920,661
1921,761
1922,652
1923,628
1924,642
1925,627
1926,531
1927,568
1928,504
1929,489
1930,510
1931,456
1932,483
1933,452
1934,427
1935,396
1936,352
1937,320
1938,331
1939,276
1940,295
1941,241
1942,261
1943,225
1944,176
1945,184
1946,197
1947,181
1948,182
1949,132
1950,157
1951,140
1952,128
1953,137
1954,109
1955,96
1956,107
1957,81
1958,88
1959,77
1960,85
1961,67
1962,42
1963,53
1964,49
1965,37
1966,30
1967,29
1968,32
1969,38
1970,36
1971,35
1972,34
1973,42
1974,43
1975,34
1976,28
1977,32
1978,26
1979,37
1980,40
1981,22
1982,28
1983,29
1984,28
1985,24
1986,22
1987,29
1988,25
1989,24
1990,31
1991,20
1992,20
1993,19
1994,19
1995,18
1996,36
1997,32
1998,32
1999,31
2000,28
2001,35
2002,23
2003,23
2004,19
2005,27
2006,30
2007,24
2008,20
2009,30
2010,24
2011,32
2012,32
