year,Nick
1880,40
1881,39
1882,35
1883,36
1884,48
1885,38
1886,47
1887,29
1888,48
1889,34
1890,45
1891,40
1892,37
1893,22
1894,38
1895,29
1896,31
1897,39
1898,37
1899,28
1900,49
1901,40
1902,37
1903,46
1904,57
1905,52
1906,67
1907,77
1908,84
1909,79
1910,124
1911,130
1912,248
1913,309
1914,425
1915,642
1916,661
1917,710
1918,761
1919,687
1920,705
1921,771
1922,791
1923,697
1924,755
1925,697
1926,649
1927,614
1928,611
1929,593
1930,629
1931,511
1932,490
1933,499
1934,465
1935,461
1936,420
1937,402
1938,400
1939,405
1940,408
1941,442
1942,519
1943,558
1944,498
1945,490
1946,564
1947,647
1948,548
1949,447
1950,424
1951,448
1952,425
1953,413
1954,430
1955,475
1956,496
1957,689
1958,846
1959,1052
1960,1099
1961,936
1962,896
1963,872
1964,798
1965,724
1966,685
1967,683
1968,670
1969,662
1970,671
1971,569
1972,558
1973,548
1974,509
1975,445
1976,411
1977,423
1978,406
1979,372
1980,317
1981,298
1982,267
1983,256
1984,277
1985,253
1986,290
1987,274
1988,240
1989,249
1990,229
1991,192
1992,226
1993,217
1994,195
1995,214
1996,172
1997,145
1998,179
1999,204
2000,216
2001,198
2002,200
2003,203
2004,208
2005,232
2006,250
2007,224
2008,236
2009,197
2010,174
2011,154
2012,157
