year,Peter
1880,496
1881,428
1882,461
1883,450
1884,524
1885,516
1886,437
1887,427
1888,498
1889,425
1890,410
1891,396
1892,465
1893,392
1894,391
1895,412
1896,402
1897,397
1898,409
1899,360
1900,443
1901,343
1902,433
1903,372
1904,395
1905,409
1906,433
1907,473
1908,542
1909,539
1910,631
1911,850
1912,1684
1913,1943
1914,2636
1915,3322
1916,3383
1917,3477
1918,3723
1919,3392
1920,3513
1921,3563
1922,3572
1923,3427
1924,3539
1925,3383
1926,3377
1927,3331
1928,3329
1929,3240
1930,3282
1931,3134
1932,3153
1933,3150
1934,3312
1935,3432
1936,3727
1937,3823
1938,4311
1939,4653
1940,5069
1941,5628
1942,6605
1943,6893
1944,6362
1945,6509
1946,7500
1947,8610
1948,8075
1949,8273
1950,8373
1951,9022
1952,9589
1953,9754
1954,10089
1955,11027
1956,11338
1957,11612
1958,10764
1959,11311
1960,10754
1961,10376
1962,9599
1963,9648
1964,9921
1965,9414
1966,8620
1967,8352
1968,8162
1969,7876
1970,8098
1971,7075
1972,6504
1973,5945
1974,5979
1975,5730
1976,5488
1977,5850
1978,5920
1979,6115
1980,6009
1981,6018
1982,5814
1983,5517
1984,5671
1985,5694
1986,5829
1987,5572
1988,5449
1989,5425
1990,5237
1991,4969
1992,4610
1993,4543
1994,4237
1995,4124
1996,4083
1997,3835
1998,3382
1999,3434
2000,3151
2001,2947
2002,2864
2003,2802
2004,2793
2005,2557
2006,2480
2007,2333
2008,2178
2009,2007
2010,1929
2011,1831
2012,1859
