year,Petra
1880,0
1881,10
1882,9
1883,9
1884,9
1885,15
1886,19
1887,17
1888,24
1889,24
1890,18
1891,18
1892,24
1893,23
1894,42
1895,27
1896,33
1897,24
1898,26
1899,22
1900,40
1901,37
1902,37
1903,26
1904,43
1905,43
1906,40
1907,51
1908,40
1909,50
1910,65
1911,62
1912,63
1913,85
1914,111
1915,120
1916,99
1917,123
1918,139
1919,145
1920,158
1921,166
1922,189
1923,168
1924,192
1925,189
1926,174
1927,205
1928,189
1929,192
1930,181
1931,173
1932,141
1933,120
1934,139
1935,106
1936,115
1937,127
1938,117
1939,106
1940,108
1941,81
1942,97
1943,103
1944,103
1945,93
1946,116
1947,115
1948,136
1949,114
1950,131
1951,97
1952,88
1953,115
1954,103
1955,100
1956,118
1957,109
1958,92
1959,105
1960,136
1961,101
1962,115
1963,112
1964,136
1965,154
1966,131
1967,124
1968,135
1969,113
1970,130
1971,130
1972,116
1973,127
1974,120
1975,101
1976,123
1977,100
1978,118
1979,101
1980,116
1981,85
1982,67
1983,96
1984,89
1985,89
1986,75
1987,111
1988,79
1989,73
1990,76
1991,83
1992,87
1993,91
1994,93
1995,80
1996,84
1997,84
1998,78
1999,70
2000,91
2001,91
2002,80
2003,80
2004,89
2005,122
2006,101
2007,124
2008,133
2009,135
2010,99
2011,117
2012,120
