year,Ramiro
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,9
1914,10
1915,9
1916,11
1917,19
1918,23
1919,26
1920,27
1921,40
1922,52
1923,59
1924,50
1925,73
1926,52
1927,76
1928,72
1929,89
1930,115
1931,95
1932,95
1933,85
1934,102
1935,67
1936,115
1937,91
1938,67
1939,88
1940,77
1941,102
1942,97
1943,110
1944,129
1945,138
1946,171
1947,183
1948,198
1949,185
1950,188
1951,181
1952,203
1953,239
1954,227
1955,220
1956,210
1957,220
1958,214
1959,208
1960,253
1961,220
1962,222
1963,241
1964,213
1965,195
1966,206
1967,198
1968,230
1969,243
1970,226
1971,234
1972,279
1973,282
1974,322
1975,306
1976,307
1977,309
1978,311
1979,301
1980,313
1981,366
1982,329
1983,325
1984,325
1985,292
1986,308
1987,325
1988,337
1989,375
1990,426
1991,481
1992,480
1993,482
1994,479
1995,480
1996,490
1997,458
1998,442
1999,477
2000,459
2001,527
2002,451
2003,427
2004,445
2005,408
2006,442
2007,431
2008,369
2009,334
2010,287
2011,263
2012,264
