year,Randolf
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,9
1940,6
1941,0
1942,6
1943,15
1944,6
1945,9
1946,6
1947,10
1948,13
1949,30
1950,25
1951,46
1952,49
1953,58
1954,46
1955,60
1956,37
1957,31
1958,43
1959,30
1960,23
1961,31
1962,23
1963,28
1964,15
1965,22
1966,16
1967,15
1968,8
1969,14
1970,13
1971,13
1972,13
1973,15
1974,12
1975,12
1976,12
1977,9
1978,7
1979,5
1980,10
1981,0
1982,13
1983,5
1984,7
1985,11
1986,13
1987,8
1988,8
1989,12
1990,13
1991,0
1992,0
1993,0
1994,8
1995,6
1996,0
1997,6
1998,0
1999,5
2000,0
2001,0
2002,0
2003,0
2004,8
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
