year,Rickie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,7
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,0
1930,0
1931,0
1932,5
1933,11
1934,6
1935,7
1936,0
1937,12
1938,15
1939,6
1940,9
1941,16
1942,22
1943,38
1944,89
1945,107
1946,215
1947,328
1948,359
1949,378
1950,425
1951,598
1952,805
1953,963
1954,1057
1955,918
1956,908
1957,857
1958,816
1959,765
1960,541
1961,488
1962,437
1963,428
1964,351
1965,300
1966,248
1967,223
1968,233
1969,211
1970,171
1971,187
1972,167
1973,194
1974,147
1975,179
1976,143
1977,160
1978,151
1979,182
1980,172
1981,170
1982,165
1983,151
1984,124
1985,139
1986,122
1987,127
1988,131
1989,118
1990,111
1991,92
1992,120
1993,114
1994,95
1995,98
1996,75
1997,81
1998,66
1999,62
2000,66
2001,57
2002,57
2003,49
2004,47
2005,50
2006,33
2007,46
2008,47
2009,37
2010,35
2011,53
2012,44
