year,Robley
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,12
1909,5
1910,0
1911,0
1912,7
1913,7
1914,5
1915,9
1916,6
1917,8
1918,8
1919,8
1920,0
1921,5
1922,8
1923,6
1924,8
1925,0
1926,6
1927,7
1928,6
1929,8
1930,10
1931,8
1932,0
1933,8
1934,7
1935,7
1936,10
1937,12
1938,5
1939,8
1940,12
1941,6
1942,9
1943,11
1944,5
1945,14
1946,5
1947,0
1948,0
1949,7
1950,8
1951,0
1952,10
1953,6
1954,0
1955,7
1956,5
1957,8
1958,8
1959,5
1960,7
1961,8
1962,0
1963,0
1964,0
1965,0
1966,5
1967,6
1968,0
1969,0
1970,0
1971,0
1972,6
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
