year,Rockwell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,8
1916,0
1917,12
1918,0
1919,7
1920,0
1921,0
1922,0
1923,8
1924,5
1925,7
1926,0
1927,8
1928,0
1929,0
1930,0
1931,0
1932,0
1933,6
1934,5
1935,0
1936,6
1937,0
1938,5
1939,0
1940,5
1941,7
1942,10
1943,7
1944,6
1945,5
1946,8
1947,7
1948,9
1949,10
1950,14
1951,10
1952,7
1953,9
1954,11
1955,0
1956,7
1957,10
1958,10
1959,6
1960,5
1961,9
1962,0
1963,7
1964,0
1965,5
1966,0
1967,5
1968,7
1969,11
1970,6
1971,6
1972,7
1973,0
1974,8
1975,6
1976,0
1977,0
1978,0
1979,7
1980,5
1981,0
1982,7
1983,0
1984,5
1985,8
1986,0
1987,6
1988,5
1989,0
1990,7
1991,9
1992,12
1993,5
1994,8
1995,6
1996,5
1997,0
1998,10
1999,9
2000,10
2001,11
2002,5
2003,17
2004,15
2005,17
2006,14
2007,17
2008,24
2009,23
2010,33
2011,35
2012,49
