year,Rosita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,6
1900,8
1901,6
1902,5
1903,6
1904,0
1905,5
1906,0
1907,9
1908,0
1909,7
1910,11
1911,10
1912,13
1913,12
1914,22
1915,16
1916,9
1917,13
1918,24
1919,21
1920,28
1921,26
1922,31
1923,31
1924,44
1925,35
1926,34
1927,38
1928,40
1929,45
1930,54
1931,50
1932,45
1933,45
1934,60
1935,75
1936,67
1937,70
1938,73
1939,68
1940,62
1941,70
1942,89
1943,86
1944,73
1945,67
1946,82
1947,107
1948,107
1949,118
1950,115
1951,112
1952,130
1953,122
1954,126
1955,135
1956,111
1957,127
1958,129
1959,120
1960,118
1961,115
1962,128
1963,89
1964,118
1965,95
1966,139
1967,104
1968,93
1969,99
1970,99
1971,80
1972,79
1973,77
1974,63
1975,54
1976,66
1977,55
1978,54
1979,54
1980,74
1981,74
1982,67
1983,60
1984,58
1985,37
1986,42
1987,49
1988,50
1989,43
1990,39
1991,34
1992,40
1993,45
1994,39
1995,41
1996,36
1997,28
1998,31
1999,27
2000,36
2001,34
2002,33
2003,23
2004,22
2005,33
2006,38
2007,50
2008,21
2009,25
2010,29
2011,18
2012,16
