year,Sam (F),Sam (M)
1880,0.000000,0.002268
1881,0.000000,0.002496
1882,0.000000,0.002505
1883,0.000000,0.002194
1884,0.000000,0.002189
1885,0.000000,0.002043
1886,0.000000,0.002033
1887,0.000000,0.001871
1888,0.000017,0.002027
1889,0.000021,0.001682
1890,0.000023,0.001622
1891,0.000000,0.001458
1892,0.000000,0.001648
1893,0.000022,0.001479
1894,0.000024,0.001497
1895,0.000014,0.001387
1896,0.000000,0.001449
1897,0.000014,0.001378
1898,0.000000,0.001423
1899,0.000000,0.001383
1900,0.000024,0.001823
1901,0.000020,0.001385
1902,0.000018,0.001445
1903,0.000000,0.001448
1904,0.000012,0.001494
1905,0.000019,0.001462
1906,0.000014,0.001288
1907,0.000017,0.001356
1908,0.000010,0.001318
1909,0.000016,0.001369
1910,0.000022,0.001503
1911,0.000009,0.001440
1912,0.000013,0.001341
1913,0.000020,0.001343
1914,0.000013,0.001327
1915,0.000015,0.001276
1916,0.000012,0.001196
1917,0.000007,0.001223
1918,0.000011,0.001154
1919,0.000017,0.001130
1920,0.000010,0.001009
1921,0.000011,0.001014
1922,0.000012,0.001026
1923,0.000010,0.000958
1924,0.000013,0.000890
1925,0.000011,0.000897
1926,0.000010,0.000886
1927,0.000010,0.000820
1928,0.000014,0.000777
1929,0.000014,0.000789
1930,0.000008,0.000751
1931,0.000010,0.000693
1932,0.000009,0.000687
1933,0.000009,0.000675
1934,0.000003,0.000637
1935,0.000005,0.000652
1936,0.000009,0.000596
1937,0.000006,0.000571
1938,0.000007,0.000524
1939,0.000004,0.000509
1940,0.000004,0.000498
1941,0.000005,0.000489
1942,0.000006,0.000468
1943,0.000005,0.000468
1944,0.000004,0.000451
1945,0.000003,0.000429
1946,0.000003,0.000408
1947,0.000002,0.000392
1948,0.000003,0.000360
1949,0.000002,0.000316
1950,0.000003,0.000273
1951,0.000004,0.000280
1952,0.000003,0.000249
1953,0.000003,0.000229
1954,0.000004,0.000219
1955,0.000003,0.000217
1956,0.000003,0.000231
1957,0.000002,0.000255
1958,0.000003,0.000285
1959,0.000003,0.000312
1960,0.000004,0.000291
1961,0.000004,0.000289
1962,0.000006,0.000264
1963,0.000002,0.000257
1964,0.000002,0.000246
1965,0.000004,0.000213
1966,0.000004,0.000195
1967,0.000003,0.000180
1968,0.000002,0.000167
1969,0.000002,0.000168
1970,0.000004,0.000167
1971,0.000003,0.000157
1972,0.000002,0.000159
1973,0.000002,0.000158
1974,0.000002,0.000143
1975,0.000003,0.000139
1976,0.000000,0.000131
1977,0.000002,0.000112
1978,0.000002,0.000131
1979,0.000002,0.000114
1980,0.000003,0.000106
1981,0.000000,0.000111
1982,0.000002,0.000107
1983,0.000003,0.000104
1984,0.000002,0.000104
1985,0.000003,0.000097
1986,0.000002,0.000107
1987,0.000002,0.000133
1988,0.000002,0.000130
1989,0.000001,0.000131
1990,0.000001,0.000148
1991,0.000002,0.000152
1992,0.000000,0.000149
1993,0.000003,0.000149
1994,0.000000,0.000149
1995,0.000000,0.000155
1996,0.000002,0.000144
1997,0.000001,0.000133
1998,0.000000,0.000133
1999,0.000000,0.000135
2000,0.000002,0.000136
2001,0.000003,0.000148
2002,0.000000,0.000149
2003,0.000000,0.000152
2004,0.000002,0.000155
2005,0.000003,0.000145
2006,0.000004,0.000148
2007,0.000002,0.000153
2008,0.000005,0.000154
2009,0.000004,0.000152
2010,0.000003,0.000149
2011,0.000004,0.000149
2012,0.000001,0.000139
