year,Sheron
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,10
1935,19
1936,16
1937,14
1938,30
1939,42
1940,50
1941,48
1942,84
1943,101
1944,102
1945,108
1946,127
1947,128
1948,116
1949,102
1950,95
1951,100
1952,69
1953,79
1954,86
1955,113
1956,105
1957,99
1958,87
1959,73
1960,70
1961,87
1962,73
1963,65
1964,61
1965,71
1966,54
1967,63
1968,51
1969,55
1970,70
1971,72
1972,59
1973,58
1974,48
1975,52
1976,53
1977,57
1978,51
1979,49
1980,39
1981,32
1982,40
1983,30
1984,26
1985,21
1986,30
1987,30
1988,21
1989,28
1990,19
1991,16
1992,24
1993,27
1994,20
1995,20
1996,14
1997,8
1998,15
1999,14
2000,11
2001,12
2002,0
2003,5
2004,7
2005,5
2006,0
2007,0
2008,5
2009,8
2010,8
2011,0
2012,5
