year,Stacy (F),Stacy (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000025
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000000
1891,0.000000,0.000024
1892,0.000021,0.000024
1893,0.000022,0.000022
1894,0.000000,0.000024
1895,0.000000,0.000000
1896,0.000022,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000024
1899,0.000021,0.000000
1900,0.000000,0.000013
1901,0.000014,0.000000
1902,0.000000,0.000000
1903,0.000018,0.000024
1904,0.000020,0.000017
1905,0.000014,0.000000
1906,0.000019,0.000012
1907,0.000000,0.000021
1908,0.000020,0.000039
1909,0.000018,0.000016
1910,0.000014,0.000014
1911,0.000012,0.000022
1912,0.000010,0.000019
1913,0.000010,0.000019
1914,0.000010,0.000023
1915,0.000011,0.000020
1916,0.000010,0.000020
1917,0.000006,0.000013
1918,0.000008,0.000019
1919,0.000006,0.000023
1920,0.000010,0.000029
1921,0.000009,0.000015
1922,0.000003,0.000022
1923,0.000007,0.000017
1924,0.000005,0.000018
1925,0.000006,0.000017
1926,0.000004,0.000013
1927,0.000003,0.000012
1928,0.000006,0.000019
1929,0.000005,0.000016
1930,0.000002,0.000016
1931,0.000006,0.000014
1932,0.000000,0.000016
1933,0.000003,0.000021
1934,0.000005,0.000013
1935,0.000000,0.000022
1936,0.000003,0.000022
1937,0.000007,0.000017
1938,0.000006,0.000018
1939,0.000003,0.000020
1940,0.000003,0.000021
1941,0.000006,0.000021
1942,0.000003,0.000014
1943,0.000006,0.000018
1944,0.000008,0.000020
1945,0.000009,0.000023
1946,0.000012,0.000016
1947,0.000014,0.000018
1948,0.000018,0.000019
1949,0.000024,0.000028
1950,0.000020,0.000030
1951,0.000029,0.000031
1952,0.000034,0.000028
1953,0.000048,0.000029
1954,0.000070,0.000033
1955,0.000075,0.000033
1956,0.000111,0.000040
1957,0.000162,0.000046
1958,0.000279,0.000058
1959,0.000356,0.000070
1960,0.000349,0.000071
1961,0.000405,0.000078
1962,0.000552,0.000103
1963,0.000824,0.000119
1964,0.000890,0.000137
1965,0.000884,0.000167
1966,0.001086,0.000195
1967,0.001353,0.000489
1968,0.001594,0.000513
1969,0.001866,0.000429
1970,0.002155,0.000328
1971,0.002655,0.000299
1972,0.002419,0.000291
1973,0.002433,0.000303
1974,0.002217,0.000272
1975,0.002375,0.000260
1976,0.002149,0.000189
1977,0.001937,0.000136
1978,0.001820,0.000108
1979,0.001716,0.000078
1980,0.001469,0.000068
1981,0.001295,0.000048
1982,0.001168,0.000039
1983,0.001351,0.000037
1984,0.001275,0.000042
1985,0.001153,0.000038
1986,0.000906,0.000040
1987,0.000763,0.000040
1988,0.000615,0.000037
1989,0.000490,0.000040
1990,0.000422,0.000039
1991,0.000362,0.000039
1992,0.000310,0.000038
1993,0.000254,0.000034
1994,0.000229,0.000033
1995,0.000187,0.000028
1996,0.000166,0.000024
1997,0.000147,0.000024
1998,0.000133,0.000015
1999,0.000123,0.000019
2000,0.000113,0.000016
2001,0.000111,0.000015
2002,0.000103,0.000016
2003,0.000105,0.000011
2004,0.000113,0.000013
2005,0.000111,0.000011
2006,0.000107,0.000011
2007,0.000105,0.000007
2008,0.000104,0.000010
2009,0.000089,0.000009
2010,0.000080,0.000007
2011,0.000071,0.000007
2012,0.000069,0.000007
2013,0.000063,0.000008
