year,Teofilo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,6
1916,8
1917,0
1918,5
1919,7
1920,8
1921,0
1922,15
1923,7
1924,14
1925,7
1926,0
1927,16
1928,10
1929,9
1930,17
1931,19
1932,11
1933,8
1934,11
1935,11
1936,7
1937,0
1938,16
1939,10
1940,9
1941,10
1942,9
1943,12
1944,11
1945,13
1946,8
1947,12
1948,10
1949,11
1950,12
1951,10
1952,8
1953,8
1954,5
1955,16
1956,10
1957,13
1958,9
1959,0
1960,8
1961,17
1962,5
1963,12
1964,9
1965,14
1966,11
1967,13
1968,14
1969,9
1970,19
1971,12
1972,7
1973,9
1974,12
1975,12
1976,9
1977,15
1978,23
1979,16
1980,23
1981,14
1982,9
1983,12
1984,11
1985,7
1986,11
1987,15
1988,13
1989,15
1990,16
1991,11
1992,14
1993,10
1994,18
1995,8
1996,6
1997,11
1998,13
1999,5
2000,9
2001,10
2002,7
2003,0
2004,0
2005,0
2006,6
2007,6
2008,0
2009,5
2010,6
2011,6
2012,7
