year,Terrill
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,0
1919,5
1920,5
1921,0
1922,6
1923,0
1924,5
1925,0
1926,6
1927,0
1928,0
1929,5
1930,0
1931,12
1932,14
1933,7
1934,10
1935,10
1936,15
1937,10
1938,24
1939,34
1940,46
1941,35
1942,54
1943,77
1944,58
1945,60
1946,69
1947,115
1948,110
1949,100
1950,114
1951,83
1952,76
1953,72
1954,71
1955,76
1956,77
1957,69
1958,70
1959,62
1960,52
1961,52
1962,41
1963,61
1964,52
1965,53
1966,46
1967,81
1968,69
1969,79
1970,87
1971,113
1972,86
1973,98
1974,90
1975,132
1976,115
1977,121
1978,122
1979,101
1980,88
1981,90
1982,66
1983,70
1984,56
1985,54
1986,70
1987,79
1988,99
1989,81
1990,95
1991,89
1992,64
1993,42
1994,44
1995,54
1996,43
1997,35
1998,42
1999,35
2000,35
2001,27
2002,28
2003,24
2004,22
2005,20
2006,31
2007,13
2008,16
2009,27
2010,29
2011,19
2012,21
