year,Theotis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,6
1920,0
1921,0
1922,0
1923,7
1924,9
1925,0
1926,0
1927,6
1928,7
1929,0
1930,5
1931,8
1932,9
1933,6
1934,6
1935,10
1936,10
1937,9
1938,12
1939,14
1940,11
1941,11
1942,12
1943,17
1944,15
1945,17
1946,14
1947,13
1948,17
1949,15
1950,22
1951,19
1952,23
1953,13
1954,20
1955,30
1956,19
1957,18
1958,10
1959,10
1960,18
1961,18
1962,11
1963,12
1964,15
1965,13
1966,9
1967,5
1968,10
1969,11
1970,10
1971,15
1972,14
1973,6
1974,11
1975,16
1976,20
1977,32
1978,11
1979,14
1980,11
1981,14
1982,10
1983,12
1984,10
1985,14
1986,11
1987,6
1988,9
1989,13
1990,10
1991,7
1992,6
1993,10
1994,6
1995,0
1996,5
1997,6
1998,10
1999,9
2000,10
2001,0
2002,6
2003,5
2004,0
2005,0
2006,8
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
